espn_id,name,year,source,league,same_as
349,Army Black Knights,2012,espn,,
349,Army Knights,2025,espn,,
349,Army,2025,footballlocks,,
150,Duke Blue Devils,2025,espn,ncaafb,
150,Duke Blue Devils,2025,espn,ncaambb,
150,Duke Blue Devils,2025,espn,ncaawbb,
2341,LIU Sharks,2025,espn,ncaafb,
112358,LIU Sharks,2025,espn,ncaambb,2341
2,Auburn Tigers,2001,espn,ncaafb,
2,Auburn Tigers,2002,espn,ncaafb,
2,Auburn Tigers,2003,espn,ncaafb,
2,Auburn Tigers,2004,espn,ncaafb,
2,Auburn Tigers,2005,espn,ncaafb,
2,Auburn Tigers,2006,espn,ncaafb,
2,Auburn Tigers,2007,espn,ncaafb,
2,Auburn Tigers,2008,espn,ncaafb,
2,Auburn Tigers,2009,espn,ncaafb,
2,Auburn Tigers,2010,espn,ncaafb,
2,Auburn Tigers,2011,espn,ncaafb,
2,Auburn Tigers,2012,espn,ncaafb,
2,Auburn Tigers,2013,espn,ncaafb,
2,Auburn Tigers,2014,espn,ncaafb,
2,Auburn Tigers,2015,espn,ncaafb,
2,Auburn Tigers,2016,espn,ncaafb,
2,Auburn Tigers,2017,espn,ncaafb,
2,Auburn Tigers,2018,espn,ncaafb,
2,Auburn Tigers,2019,espn,ncaafb,
2,Auburn Tigers,2020,espn,ncaafb,
2,Auburn Tigers,2021,espn,ncaafb,
2,Auburn Tigers,2022,espn,ncaafb,
2,Auburn Tigers,2023,espn,ncaafb,
2,Auburn Tigers,2024,espn,ncaafb,
2,Auburn Tigers,2025,espn,ncaafb,
3,Birmingham-Southern Panthers,2007,espn,ncaafb,
3,Birmingham-Southern Panthers,2008,espn,ncaafb,
3,Birmingham-Southern Panthers,2009,espn,ncaafb,
3,Birmingham-Southern Panthers,2010,espn,ncaafb,
3,Birmingham-Southern Panthers,2011,espn,ncaafb,
3,Birmingham-Southern Panthers,2012,espn,ncaafb,
3,Birmingham-Southern Panthers,2013,espn,ncaafb,
3,Birmingham-Southern Panthers,2014,espn,ncaafb,
3,Birmingham-Southern Panthers,2015,espn,ncaafb,
3,Birmingham-Southern Panthers,2016,espn,ncaafb,
3,Birmingham-Southern Panthers,2017,espn,ncaafb,
3,Birmingham-Southern Panthers,2018,espn,ncaafb,
3,Birmingham-Southern Panthers,2019,espn,ncaafb,
3,Birmingham-Southern Panthers,2020,espn,ncaafb,
3,Birmingham-Southern Panthers,2021,espn,ncaafb,
3,Birmingham-Southern Panthers,2022,espn,ncaafb,
3,Birmingham-Southern Panthers,2023,espn,ncaafb,
5,UAB Blazers,2001,espn,ncaafb,
5,UAB Blazers,2002,espn,ncaafb,
5,UAB Blazers,2003,espn,ncaafb,
5,UAB Blazers,2004,espn,ncaafb,
5,UAB Blazers,2005,espn,ncaafb,
5,UAB Blazers,2006,espn,ncaafb,
5,UAB Blazers,2007,espn,ncaafb,
5,UAB Blazers,2008,espn,ncaafb,
5,UAB Blazers,2009,espn,ncaafb,
5,UAB Blazers,2010,espn,ncaafb,
5,UAB Blazers,2011,espn,ncaafb,
5,UAB Blazers,2012,espn,ncaafb,
5,UAB Blazers,2013,espn,ncaafb,
5,UAB Blazers,2014,espn,ncaafb,
5,UAB Blazers,2017,espn,ncaafb,
5,UAB Blazers,2018,espn,ncaafb,
5,UAB Blazers,2019,espn,ncaafb,
5,UAB Blazers,2020,espn,ncaafb,
5,UAB Blazers,2021,espn,ncaafb,
